X,Y,source_url,upstream,completeness,name,date_modified,uuid,type,version,what3words,source,nature-of-facility,raw-source,ownership,physical-address,phone,email,url
37.9178786,1.99962105,http://www.openstreetmap.org/way/233704573,openstreetmap¶w233704573,35.29%,A.I.C. Dispensary,2015-12-11T10:51:22.924Z,1274d30c31c74ed39c492e0895dd05d5,clinic,2,filed.tonalities.tabletop,OpenStreetMap,,,,,,,
36.8873739,-1.3180392,http://www.openstreetmap.org/node/878847326,openstreetmap¶n878847326,35.29%,AFYA MEDICAL CLINIC,2015-11-17T09:43:57.838Z,346a228584334aa1a896657b711d7c94,hospital,2,trailers.slyly.workshop,OpenStreetMap,,,,,,,
36.5946619867983,-0.947828,http://www.openstreetmap.org/way/280840850,openstreetmap¶w280840850,35.29%,AIC Kijabe Hospital,2015-12-11T10:51:22.924Z,dd72f8979d0e4938bcac6a2f4873c03f,hospital,2,slacker.fixating.sidetracked,OpenStreetMap,,,,,,,
35.722384644037902,0.0372521,http://www.openstreetmap.org/way/428462966,OpenStreetMap¶w428462966,29.41%,AIC MISION HOSPITAL,2016-07-01T12:49:59Z,b212f52adf76461eb9462a6c3a4d41de,hospital,2,regenerates.rectifying.smoothness,OpenStreetMap,,,,,,,
34.9308331,-0.384137,http://www.openstreetmap.org/node/4599761175,OpenStreetMap¶n4599761175,29.41%,AIC Nyakach Dispensary,2017-01-10T13:17:21Z,1584aeb5e5234734bdc83c66941606c2,hospital,2,birdcage.orphaned.stiff,OpenStreetMap,,,,,,,
36.8623015,-1.262991,http://www.openstreetmap.org/node/4503879843,OpenStreetMap¶n4503879843,29.41%,AIC Zion Medical Clinic,2016-11-16T08:39:18Z,4a66fe47ff434419a6d6293d2b40cb0f,clinic,2,firm.kilowatt.beads,OpenStreetMap,,,,,,,
34.4751,-1.25212,http://opendata.go.tz/dataset/list-of-health-facilities-with-geographical-location,Tanzania Ministry of Health and Social Welfare¶100093-4,41.18%,ALPHA,2016-05-20T18:16:41.338Z,e22402bcd78f4c53ba78d53c71ddbfac,,2,decaying.evenly.bleary,Ministry of Health and Social Welfare,Clinic,https://data.humdata.org/dataset/tanzania-healthsites,Private,,,,
39.7131097,0.6274012,http://www.openstreetmap.org/node/3713229994,openstreetmap¶n3713229994,35.29%,Abakore Health center,2015-11-17T09:43:57.838Z,048384a9d6c3452699c29ee625e4d08d,hospital,2,unspecific.evenly.firefighter,OpenStreetMap,,,,,,,
39.4583862,3.3344303,http://www.openstreetmap.org/node/3697007909,openstreetmap¶n3697007909,35.29%,Adadijole Dispensary,2015-11-17T09:43:57.838Z,a4474ad26ffc497f8e8cb3273cdc562f,clinic,2,funnel.seasickness.subs,OpenStreetMap,,,,,,,
39.2964228200075,2.1420068,http://www.openstreetmap.org/way/367402081,openstreetmap¶w367402081,35.29%,Adan awale Dispensary,2015-12-11T10:51:22.924Z,70bb8a525216406cae170de58c81f1d2,hospital,2,asks.euphoria.deporting,OpenStreetMap,,,,,,,
36.8776039,-1.2547542,http://www.openstreetmap.org/node/1038172414,openstreetmap¶n1038172414,35.29%,Afya Health Services,2015-11-17T09:43:57.838Z,78ee763aae2043d9b5f5475862307b8b,hospital,2,sedative.campus.backpack,OpenStreetMap,,,,,,,
36.883843,-1.3131974,http://www.openstreetmap.org/node/949598124,openstreetmap¶n949598124,35.29%,Afya Medical Clinic,2015-11-17T09:43:57.838Z,52be7453f2e14a459510b7e400a07d38,hospital,2,gloom.lately.crowned,OpenStreetMap,,,,,,,
34.7564625,-0.0990866,http://www.openstreetmap.org/node/408800045,openstreetmap¶n408800045,35.29%,Aga Khan Hospital,2015-11-17T09:43:57.838Z,fa25167e00a2459494cf4b63398f98ae,hospital,2,denser.earphones.crouches,OpenStreetMap,,,,,,,
36.9575167,-1.4785375,http://www.openstreetmap.org/node/3595689026,openstreetmap¶n3595689026,35.29%,Aga Khan Hospital Kitengela,2015-11-17T09:43:57.838Z,0ee7399fb6ad4a8b904237267ff95703,hospital,2,reruns.reckless.debris,OpenStreetMap,,,,,,,
36.824126874579797,-1.261807,http://www.openstreetmap.org/way/25473029,openstreetmap¶w25473029,41.18%,Aga Khan University Hospital,2015-12-11T10:51:22.924Z,b79876e0c84044278fdfd5971e9933a5,hospital,2,pancakes.nosedive.racked,OpenStreetMap,,,,3rd Parklands Avenue,,,
40.058739,1.7486694,http://www.openstreetmap.org/node/3680029606,openstreetmap¶n3680029606,35.29%,Alfurqan hospital,2015-11-17T09:43:57.838Z,2945d96162f24286b2d512fca82d38df,hospital,2,salon.collectives.turret,OpenStreetMap,,,,,,,
40.0477513,1.7344605,http://www.openstreetmap.org/node/3683520804,openstreetmap¶n3683520804,35.29%,Ali Maow Health Center,2015-11-17T09:43:57.838Z,0b5a007c9bdf4627a3e95b0c30e46ced,clinic,2,investiture.prosthetic.mediocrity,OpenStreetMap,,,,,,,
36.8844394,-1.3144759,http://www.openstreetmap.org/node/949598013,openstreetmap¶n949598013,35.29%,Alice Nursing Home,2015-11-17T09:43:57.838Z,9057b374aab54bc8bcf7fab49390663a,hospital,2,intervene.distracts.support,OpenStreetMap,,,,,,,
36.8860472,-1.2565478,http://www.openstreetmap.org/node/1736275847,openstreetmap¶n1736275847,35.29%,Amana Medical Clinic,2015-11-17T09:43:57.838Z,0975e72d75424700be259b39fee158ee,hospital,2,imply.business.revision,OpenStreetMap,,,,,,,
36.8866321,-1.3207218,http://www.openstreetmap.org/node/1419101733,openstreetmap¶n1419101733,35.29%,Amani health clinic,2015-11-17T09:43:57.838Z,72e9452658ca4f3987813f5f3c95b589,hospital,2,sheep.drops.everybody,OpenStreetMap,,,,,,,
34.285157314472201,0.18111015,http://www.openstreetmap.org/way/129856950,openstreetmap¶w129856950,35.29%,Ambira Sub District Hospital,2015-12-11T10:51:22.924Z,ac8df2a19e4b4c92b20d532e2252b2ee,hospital,2,mashed.buttering.access,OpenStreetMap,,,,,,,
36.7956479,-1.31121735,http://www.openstreetmap.org/way/48161236,openstreetmap¶w48161236,35.29%,Amref Hospital,2015-12-11T10:51:22.924Z,5600e727ac7a4f0ea6e1ccabf11e6435,hospital,2,slipped.scorecard.unwanted,OpenStreetMap,,,,,,,
36.7956417,-1.311196,http://www.openstreetmap.org/node/671166105,openstreetmap¶n671166105,35.29%,Amref-Kibera,2015-11-17T09:43:57.838Z,cbe81c40e50245738568ad66bc588c0c,hospital,2,vocals.rewarded.compiler,OpenStreetMap,,,,,,,
36.7997537,-1.3152444,http://www.openstreetmap.org/node/708750154,openstreetmap¶n708750154,35.29%,Annex Medical Clinic and Clinic,2015-11-17T09:43:57.838Z,1ff77ede503f46b19eb63c3a668d9c79,hospital,2,mainland.shredding.earful,OpenStreetMap,,,,,,,
39.7235828,2.4941907,http://www.openstreetmap.org/node/3693575970,openstreetmap¶n3693575970,35.29%,Anole Dispensary,2015-11-17T09:43:57.838Z,2d39f05defbb41b6b57cb71c2b27336c,clinic,2,cheerleading.shipwrecked.showy,OpenStreetMap,,,,,,,
40.2961644,1.7721692,http://www.openstreetmap.org/node/3680036472,openstreetmap¶n3680036472,35.29%,Arbaqerasow Dispensary,2015-11-17T09:43:57.838Z,e247d103bc00450eb3f98062ecde65a6,hospital,2,enjoying.winning.streamed,OpenStreetMap,,,,,,,
40.3603168,1.6694266,http://www.openstreetmap.org/node/3781927480,OpenStreetMap¶n3781927480,29.41%,Argane Dispensary,2015-10-11T11:54:27Z,4479c59a474b40fabc10cec3c60e8adb,clinic,2,adeptly.huge.trustworthy,OpenStreetMap,,,,,,,
36.804798,-1.310581,http://www.openstreetmap.org/node/521103442,openstreetmap¶n521103442,35.29%,Armed Forces Memorial Hospital,2015-11-17T09:43:57.838Z,e391ef0d09394b1086ea51af162ca908,hospital,2,stressed.bookshop.firebird,OpenStreetMap,,,,,,,
39.215590942118197,1.6982288,http://www.openstreetmap.org/way/367402086,openstreetmap¶w367402086,35.29%,Athibohol Dispensary,2015-12-11T10:51:22.924Z,674bdbe46d624ea5a4fb2885e596e4b1,hospital,2,paella.halt.subtract,OpenStreetMap,,,,,,,
